mG(GeV)	XS(pb)	scale(%)	pdf(%)	alphsS(%)	full(%)
200	0.3683116172987487	1.8258289168187984	9.731457497173375	0.0006664292270141768	9.901258339065368
260	0.09602668514812003	1.8552737671798663	9.97197361635791	0.00018561586700295348	10.143091175326054
300	0.047613459738945284	1.8997772552705845	10.337494135676453	0.0001006978651237026	10.51061076412444
350	0.02254475546030799	1.8995829045742145	10.591034698514372	0.00004712496227626128	10.7600386244059
400	0.011966997609306746	1.9158279807676921	10.977655548750933	0.0000245255768920447	11.143577441715745
450	0.006891776212231986	1.9843258201516283	11.386315480344042	0.000013052838464901706	11.557929277280303
500	0.004199732468591981	2.0206649167132733	11.741790230544726	7.425668202657544e-6	11.914391487768334
550	0.0026879175724940263	2.0229168560360495	12.037730188276862	4.379286631379654e-6	12.206520417064237
600	0.0017797960844211078	2.0475649815589656	12.256819767825782	2.2613356873587005e-6	12.426671041541116
650	0.0012207947373312938	2.0637246230534343	12.648061778369248	1.6300750534643736e-6	12.81531997529694
700	0.0008591219253382029	2.1148828888661804	12.933585782917124	1.070805053326343e-6	13.1053565704141
750	0.0006156152572982922	2.1354729460255957	13.136920587136322	7.159269014405063e-7	13.30935487602363
800	0.00044994506943427223	2.1564742041719187	13.373823178327276	4.1349912697100373e-7	13.546568842272313
900	0.00025137405009815144	2.2258213778991056	13.868056768047696	2.2190607256819867e-7	14.045543041410191
1000	0.0001478238308263867	2.287456482192323	14.323014339640485	1.4053894029522744e-7	14.504523326585769
1100	0.0000904776117604224	2.3427976193185716	14.65098623937407	8.9042987947995e-8	14.83711894106848
1200	0.000056975255645515407	2.3936641050705463	15.048529781325767	6.142307532601094e-8	15.23771230950866
1300	0.00003692438276388664	2.4886060388676534	15.39815629113455	4.728595818523094e-8	15.597960673847561
1400	0.000024351052420889357	2.5181975696842143	15.721799685409946	2.843399942029931e-8	15.922195336954001
1500	0.00001640641540069989	2.604725980510132	16.071135531510862	2.4281077098010648e-8	16.280847481188914
1600	0.000011274675921737518	2.686521421048307	16.421700182786537	2.0801785250343632e-8	16.640001028818563
1700	7.802219659101039e-6	2.7376025613439086	16.70678821129959	1.5768681119050598e-8	16.92959657289847
1800	5.486799520511501e-6	2.8792055237626486	16.968444767598854	1.1824741614841563e-8	17.210983187462542
1900	3.9196934457848884e-6	2.960221119707719	17.36577658545259	1.0165477615642434e-8	17.616273882220863
2000	2.8161410177497724e-6	3.1562866492343438	17.631967823489145	1.0145504507725951e-8	17.912242593843224
2500	5.96167457011135e-7	3.7522604583508543	19.261454056384583	3.4818068950108418e-9	19.62353359906206
3000	1.440976398414742e-7	5.104859345949913	21.269516144839784	1.5389012413605784e-9	21.87354351671289
3500	3.7653825711302106e-8	6.538905668541731	23.83707424838142	6.895203630975009e-10	24.71767375917353
4000	1.0316299054660157e-8	8.637900213453092	27.371131763482264	3.0277115840712386e-10	28.701779981587915
4500	2.8801312841217955e-9	11.48920303392293	32.49386916947251	1.3391340624516899e-10	34.465248003713825
5000	8.157049697186479e-10	14.76881866497246	39.65408116753171	5.408502846893956e-11	42.31505828898303
6500	1.7145886494769366e-11	30.34559251339385	81.07973536853567	2.212885901138671e-12	86.57238862605512
