mG(GeV)	XS(pb)	pdf(%)	pdf(%)	scale(%)	scale(%)	full(%)	full(%)
200	11.435640647331025	10.8	-10.2	11.2	-7.7	15.558920271021378	-15.558920271021378
260	3.3956158561401915	11.8	-11.3	7.8	-5.3	14.14496376806954	-14.14496376806954
300	1.7849442756422578	12.7	-12.2	6.6	-4.5	14.31258187749506	-14.31258187749506
400	0.482656932882833	15.	-15.	4.	-2.9	15.524174696260024	-15.524174696260024
500	0.1752152838112674	17.3	-17.5	3.1	-2.6	17.575551200460257	-17.575551200460257
600	0.07351488557261508	19.5	-19.8	2.1	-1.7	19.612750954417386	-19.612750954417386
700	0.034987146007437867	22.2	-22.5	2.7	-1.9	22.363586474445462	-22.363586474445462
750	0.024916348817773982	23.4	-23.5	1.7	-1.3	23.46167086973986	-23.46167086973986
800	0.018199328025736643	24.4	-24.6	1.8	-1.4	24.466303357883877	-24.466303357883877
900	0.009802248453866633	27.2	-26.9	1.9	-1.5	27.266279540854118	-27.266279540854118
1000	0.0056657071801246945	29.6	-29.	1.9	-1.5	29.660917045836598	-29.660917045836598
1500	0.0005727231501579456	43.3	-39.9	1.8	-2.	43.337397245335346	-43.337397245335346
1800	0.00018315617607742797	52.5	-46.8	1.6	-2.1	52.52437529376242	-52.52437529376242
2000	0.00009062263600103764	59.4	-52.1	1.6	-2.3	59.42154491428172	-59.42154491428172
2500	0.00001868308774736877	78.	-67.2	1.2	-2.7	78.00923022309604	-78.00923022309604
3000	4.412202866735033e-6	100.5	-85.9	1.8	-3.6	100.51611811048016	-100.51611811048016
3500	1.1518090410508347e-6	127.5	-108.	1.7	-4.1	127.5113328296744	-127.5113328296744
4500	8.933087336020322e-8	198.9	-165.8	2.	-5.5	198.910055050015	-198.910055050015
5000	2.4883397029814656e-8	244.8	-205.6	2.7	-6.4	244.81488925308446	-244.81488925308446
6000	1.834050541862782e-9	372.	-374.9	3.5	-7.5	372.01646468940055	-372.01646468940055
6500	4.6067568192800316e-10	464.	-536.9	4.4	-8.2	464.0208615999931	-464.0208615999931
