mR(GeV)	Γ(GeV)	gluglu	ZZ	WW	γγ	tt	hh
10. 	-	0.128548	0.	0.	-	0.	0.
15.	    -	0.128548	0.005387104166666712	0.012739062499999898	-	0.	0.
20.	    -	0.128548	0.01077420833333334	0.025478124999999907	-	0.	0.
25.	    -	0.128548	0.016161312500000025	0.038217187499999916	-	0.	0.
30.	    -	0.128548	0.02154841666666668	0.050956249999999925	-	0.	0.
35.	    -	0.128548	0.026935520833333365	0.06369531249999993	-	0.	0.
40.	    -	0.128548	0.03232262500000002	0.07643437499999994	-	0.	0.
45.	    -	0.128548	0.03770972916666668	0.08917343749999995	-	0.	0.
50. 	-	0.128548	0.04309683333333336	0.10191249999999996	-	0.	0.
55. 	-	0.128548	0.04848393750000002	0.11465156249999997	-	0.	0.
60. 	-	0.128548	0.053871041666666675	0.12739062499999998	-	0.	0.
65. 	-	0.128548	0.05925814583333336	0.14012968749999993	-	0.	0.
70. 	-	0.128548	0.06464525000000002	0.15286874999999994	-	0.	0.
75. 	-	0.128548	0.07003235416666667	0.16560781249999995	-	0.	0.
80. 	-	0.128548	0.07541945833333336	0.17834687499999996	-	0.	0.
85. 	-	0.128548	0.08080656250000001	0.19108593749999997	-	0.	0.
90. 	-	0.128548	0.08619366666666667	0.20382499999999998	-	0.	0.
95. 	-	0.128548	0.09158077083333335	0.2165640625	-	0.	0.
100.	-	0.128548	0.09696787500000001	0.22930312499999994	-	0.	0.
105.	-	0.128548	0.10235497916666669	0.24204218749999995	-	0.	0.
110.	-	0.128548	0.10774208333333335	0.25478124999999996	-	0.	0.
115.	-	0.128548	0.1131291875	0.26752031249999997	-	0.	0.
120.	-	0.128548	0.11851629166666669	0.280259375	-	0.	0.
125.	-	0.128548	0.12390339583333335	0.2929984375	-	0.	0.
130.	-	0.128548	0.1292905	0.3057375	-	0.	0.
135.	-	0.128548	0.1346776041666667	0.31847656249999995	-	0.	0.
140.	-	0.128548	0.14006470833333334	0.33121562499999996	-	0.	0.
145.	-	0.128548	0.1454518125	0.34395468749999997	-	0.	0.
150.	-	0.128548	0.15083891666666668	0.35669375	-	0.	0.
160.	-	0.128548	0.16161312500000002	0.38217187499999994	-	0.	0.
170.	-	0.128548	0.17238733333333334	0.40764999999999996	-	0.	0.
180.	-	0.128548	0.18316154166666668	0.433128125	-	0.	0.
190.	-	0.128548	0.19393575000000002	0.45860625	-	0.	0.
200.	-	0.128548	0.20470995833333333	0.484084375	-	0.	0.
210.	-	0.128548	0.21548416666666667	0.5095625	-	0.	0.
220.	-	0.128548	0.226258375	0.5350406249999999	-	0.	0.
230.	-	0.128548	0.23703258333333332	0.56051875	-	0.	0.
240.	-	0.128548	0.24780679166666666	0.585996875	-	0.	0.
250.	-	0.128548	0.258581	0.611475	-	0.	0.
260.	-	0.0932578	0.19862	0.464304	-	0.	0.242876
270.	-	0.0861957	0.192077	0.4448845	-	0.	0.2760225
280.	-	0.0791336	0.185534	0.425465	-	0.	0.309169
290.	-	0.07607744999999999	0.18519449999999998	0.4213555	-	0.	0.316739
300.	-	0.0730213	0.184855	0.417246	-	0.	0.324309
310.	-	0.07130235	0.186002	0.4170245	-	0.	0.325145
320.	-	0.0695834	0.187149	0.416803	-	0.	0.325981
330.	-	0.06861835	0.1887125	0.41787549999999996	-	0.	0.324342
340.	-	0.0676533	0.190276	0.418948	-	0.	0.322703
350.	-	0.0668156	0.190239	0.4168225	-	0.00833365	0.3173955
360.	-	0.0659779	0.190202	0.414697	-	0.0166673	0.312088
370.	-	0.06448010000000001	0.18874400000000002	0.40979849999999995	-	0.03210225	0.30453149999999996
380.	-	0.0629823	0.187286	0.4049	-	0.0475372	0.296975
390.	-	0.061531050000000004	0.186239	0.401176	-	0.06021475	0.29053850000000003
400.	-	0.0600798	0.185192	0.397452	-	0.0728923	0.284102
410.	-	0.05894582	0.184982	0.3958666	-	0.08013804	0.2797986
420.	-	0.05781184	0.184772	0.3942812	-	0.08738378	0.2754952
430.	-	0.05667786	0.184562	0.39269580000000004	-	0.09462952	0.27119180000000004
440.	-	0.05554388	0.184352	0.3911104	-	0.10187526	0.2668884
450.	-	0.0544099	0.184142	0.389525	-	0.109121	0.262585
460.	-	0.05365246	0.1846326	0.3897374	-	0.111509	0.260259
470.	-	0.05289502	0.18512320000000002	0.3899498	-	0.113897	0.257933
480.	-	0.052137579999999996	0.1856138	0.3901622	-	0.116285	0.255607
490.	-	0.05138014	0.1861044	0.3903746	-	0.118673	0.253281
500.	-	0.0506227	0.186595	0.390587	-	0.121061	0.250955
550.	-	0.0480322	0.190427	0.395496	-	0.121369	0.244523
600.	-	0.0461997	0.19463	0.401811	-	0.116332	0.240894
650.	-	0.0448663	0.19875	0.408402	-	0.109026	0.238836
700.	-	0.0438734	0.202593	0.414754	-	0.100982	0.237688
750.	-	0.0431203	0.206089	0.420647	-	0.0929629	0.23708
800.	-	0.0425402	0.209229	0.426006	-	0.0853359	0.236795
850.	-	0.0420875	0.212029	0.430828	-	0.0782622	0.236704
900.	-	0.0417303	0.214519	0.435142	-	0.0717938	0.236731
950.	-	0.0414458	0.216731	0.438993	-	0.065926	0.236825
1000.	-	0.0412171	0.218696	0.442426	-	0.0606264	0.236958
1050.	-	0.0412171	0.218696	0.442426	-	0.059376399999999996	0.236958
1100.	-	0.0412171	0.218696	0.442426	-	0.058126399999999995	0.236958
1150.	-	0.0412171	0.218696	0.442426	-	0.056876399999999994	0.236958
1200.	-	0.0412171	0.218696	0.442426	-	0.0556264	0.236958
1250.	-	0.0412171	0.218696	0.442426	-	0.0543764	0.236958
1300.	-	0.0412171	0.218696	0.442426	-	0.0531264	0.236958
1350.	-	0.0412171	0.218696	0.442426	-	0.051876399999999996	0.236958
1400.	-	0.0412171	0.218696	0.442426	-	0.050626399999999995	0.236958
1450.	-	0.0412171	0.218696	0.442426	-	0.0493764	0.236958
1500.	-	0.0412171	0.218696	0.442426	-	0.0481264	0.236958
1550.	-	0.0412171	0.218696	0.442426	-	0.0468764	0.236958
1600.	-	0.0412171	0.218696	0.442426	-	0.0456264	0.236958
1650.	-	0.0412171	0.218696	0.442426	-	0.044376399999999996	0.236958
1700.	-	0.0412171	0.218696	0.442426	-	0.043126399999999995	0.236958
1750.	-	0.0412171	0.218696	0.442426	-	0.041876399999999994	0.236958
1800.	-	0.0412171	0.218696	0.442426	-	0.0406264	0.236958
1850.	-	0.0412171	0.218696	0.442426	-	0.0393764	0.236958
1900.	-	0.0412171	0.218696	0.442426	-	0.0381264	0.236958
1950.	-	0.0412171	0.218696	0.442426	-	0.0368764	0.236958
2000.	-	0.0412171	0.218696	0.442426	-	0.035626399999999996	0.236958
2050.	-	0.0412171	0.218696	0.442426	-	0.034376399999999994	0.236958
2100.	-	0.0412171	0.218696	0.442426	-	0.0331264	0.236958
2150.	-	0.0412171	0.218696	0.442426	-	0.0318764	0.236958
2200.	-	0.0412171	0.218696	0.442426	-	0.030626399999999998	0.236958
2250.	-	0.0412171	0.218696	0.442426	-	0.029376399999999997	0.236958
2300.	-	0.0412171	0.218696	0.442426	-	0.028126399999999996	0.236958
2350.	-	0.0412171	0.218696	0.442426	-	0.026876399999999995	0.236958
2400.	-	0.0412171	0.218696	0.442426	-	0.0256264	0.236958
2450.	-	0.0412171	0.218696	0.442426	-	0.0243764	0.236958
2500.	-	0.0412171	0.218696	0.442426	-	0.0231264	0.236958
2550.	-	0.0412171	0.218696	0.442426	-	0.021876399999999997	0.236958
2600.	-	0.0412171	0.218696	0.442426	-	0.020626399999999996	0.236958
2650.	-	0.0412171	0.218696	0.442426	-	0.0193764	0.236958
2700.	-	0.0412171	0.218696	0.442426	-	0.0181264	0.236958
2750.	-	0.0412171	0.218696	0.442426	-	0.0168764	0.236958
2800.	-	0.0412171	0.218696	0.442426	-	0.0156264	0.236958
2850.	-	0.0412171	0.218696	0.442426	-	0.0143764	0.236958
2900.	-	0.0412171	0.218696	0.442426	-	0.0131264	0.236958
2950.	-	0.0412171	0.218696	0.442426	-	0.011876399999999999	0.236958
3000.	-	0.0412171	0.218696	0.442426	-	0.0106264	0.236958
